EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
228	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	kcat/Km	N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester	62000	NaN	7000	M^(-1)*s^(-1)	H2O2;N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester;Nitrite	H2O;Nitro compound	NaN	NaN	35715;16301;16240;15377	7.5	25	NaN	Nitrite + H2O2 + N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester = H2O + Nitro compound	Michaelis-Menten	15206949
228	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	Km	N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester	2.60E-04	NaN	5.00E-05	M	H2O2;N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester;Nitrite	H2O;Nitro compound	NaN	NaN	35715;16301;16240;15377	7.5	25	NaN	Nitrite + H2O2 + N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester = H2O + Nitro compound	Michaelis-Menten	15206949
228	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	H2O2	8.00E-04	NaN	NaN	M	H2O2;N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester;Nitrite	H2O;Nitro compound	NaN	NaN	35715;16301;16240;15377	7.5	25	NaN	Nitrite + H2O2 + N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester = H2O + Nitro compound	Michaelis-Menten	15206949
228	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	kcat	NaN	16	NaN	1	s^(-1)	H2O2;N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester;Nitrite	H2O;Nitro compound	NaN	NaN	35715;16301;16240;15377	7.5	25	NaN	Nitrite + H2O2 + N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester = H2O + Nitro compound	Michaelis-Menten	15206949
228	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester	5.00E-05	8.00E-04	NaN	M	H2O2;N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester;Nitrite	H2O;Nitro compound	NaN	NaN	35715;16301;16240;15377	7.5	25	NaN	Nitrite + H2O2 + N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester = H2O + Nitro compound	Michaelis-Menten	15206949
228	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	Nitrite	0.05	NaN	NaN	M	H2O2;N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester;Nitrite	H2O;Nitro compound	NaN	NaN	35715;16301;16240;15377	7.5	25	NaN	Nitrite + H2O2 + N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester = H2O + Nitro compound	Michaelis-Menten	15206949
228	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	Enzyme	1.00E-07	NaN	NaN	M	H2O2;N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester;Nitrite	H2O;Nitro compound	NaN	NaN	35715;16301;16240;15377	7.5	25	NaN	Nitrite + H2O2 + N(alpha)-t-Butoxycarbonyl-L-tryptophanyl-glycineethylester = H2O + Nitro compound	Michaelis-Menten	15206949
229	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	Nitrite	0.1	NaN	NaN	M	Nitrite;N-Acetyl-L-tryptophanethylester;H2O2	H2O;Nitro compound	NaN	NaN	16301;15377;16240;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanethylester = H2O + Nitro compound	Michaelis-Menten	15206949
229	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	N-Acetyl-L-tryptophanethylester	3.00E-05	0.012	NaN	M	Nitrite;N-Acetyl-L-tryptophanethylester;H2O2	H2O;Nitro compound	NaN	NaN	16301;15377;16240;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanethylester = H2O + Nitro compound	Michaelis-Menten	15206949
229	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	kcat/Km	N-Acetyl-L-tryptophanethylester	20000	NaN	2000	M^(-1)*s^(-1)	Nitrite;N-Acetyl-L-tryptophanethylester;H2O2	H2O;Nitro compound	NaN	NaN	16301;15377;16240;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanethylester = H2O + Nitro compound	Michaelis-Menten	15206949
229	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	kcat	NaN	14.5	NaN	0.5	s^(-1)	Nitrite;N-Acetyl-L-tryptophanethylester;H2O2	H2O;Nitro compound	NaN	NaN	16301;15377;16240;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanethylester = H2O + Nitro compound	Michaelis-Menten	15206949
229	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	Enzyme	1.00E-07	NaN	NaN	M	Nitrite;N-Acetyl-L-tryptophanethylester;H2O2	H2O;Nitro compound	NaN	NaN	16301;15377;16240;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanethylester = H2O + Nitro compound	Michaelis-Menten	15206949
229	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	Km	N-Acetyl-L-tryptophanethylester	7.20E-04	NaN	7.00E-05	M	Nitrite;N-Acetyl-L-tryptophanethylester;H2O2	H2O;Nitro compound	NaN	NaN	16301;15377;16240;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanethylester = H2O + Nitro compound	Michaelis-Menten	15206949
229	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	H2O2	8.00E-04	NaN	NaN	M	Nitrite;N-Acetyl-L-tryptophanethylester;H2O2	H2O;Nitro compound	NaN	NaN	16301;15377;16240;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanethylester = H2O + Nitro compound	Michaelis-Menten	15206949
230	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	Nitrite	0.15	NaN	NaN	M	Nitrite;N-Acetyl-L-tryptophanamide;H2O2	Nitro compound;H2O	NaN	NaN	16301;16240;15377;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanamide = H2O + Nitro compound	Michaelis-Menten	15206949
230	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	H2O2	8.00E-04	NaN	NaN	M	Nitrite;N-Acetyl-L-tryptophanamide;H2O2	Nitro compound;H2O	NaN	NaN	16301;16240;15377;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanamide = H2O + Nitro compound	Michaelis-Menten	15206949
230	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	Km	N-Acetyl-L-tryptophanamide	0.0023	NaN	4.00E-04	M	Nitrite;N-Acetyl-L-tryptophanamide;H2O2	Nitro compound;H2O	NaN	NaN	16301;16240;15377;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanamide = H2O + Nitro compound	Michaelis-Menten	15206949
230	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	N-Acetyl-L-tryptophanamide	3.00E-04	0.012	NaN	M	Nitrite;N-Acetyl-L-tryptophanamide;H2O2	Nitro compound;H2O	NaN	NaN	16301;16240;15377;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanamide = H2O + Nitro compound	Michaelis-Menten	15206949
230	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	kcat/Km	N-Acetyl-L-tryptophanamide	8000	NaN	900	M^(-1)*s^(-1)	Nitrite;N-Acetyl-L-tryptophanamide;H2O2	Nitro compound;H2O	NaN	NaN	16301;16240;15377;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanamide = H2O + Nitro compound	Michaelis-Menten	15206949
230	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	kcat	NaN	19	NaN	1	s^(-1)	Nitrite;N-Acetyl-L-tryptophanamide;H2O2	Nitro compound;H2O	NaN	NaN	16301;16240;15377;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanamide = H2O + Nitro compound	Michaelis-Menten	15206949
230	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	Enzyme	1.00E-07	NaN	NaN	M	Nitrite;N-Acetyl-L-tryptophanamide;H2O2	Nitro compound;H2O	NaN	NaN	16301;16240;15377;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanamide = H2O + Nitro compound	Michaelis-Menten	15206949
234	Bos taurus	milk	Tryptophan metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown]"	peroxidase	wildtype	P80025	1.11.1.7	concentration	Nitrite	0.004	0.4	NaN	M	Nitrite;H2O2;N-Acetyl-L-tryptophanamide	H2O;Nitro compound	NaN	NaN	15377;16301;16240;35715	7.5	25	NaN	Nitrite + H2O2 + N-Acetyl-L-tryptophanamide = H2O + Nitro compound	Second-order mass action	15206949
