EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
1911	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	Km	Benzyloxycarbonyl-Gln-Gly	0.0032	NaN	5.00E-04	M	"Benzyloxycarbonyl-Gln-Gly;N,N-Dimethyl-1,4-phenylenediamine"	Protein N5-alkylglutamine;NH3	NaN	NaN	15783;16134	7	37	NaN	"Benzyloxycarbonyl-Gln-Gly + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1911	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	concentration	Benzyloxycarbonyl-Gln-Gly	6.40E-04	0.016	-	M	"Benzyloxycarbonyl-Gln-Gly;N,N-Dimethyl-1,4-phenylenediamine"	Protein N5-alkylglutamine;NH3	NaN	NaN	15783;16134	7	37	NaN	"Benzyloxycarbonyl-Gln-Gly + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1911	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	kcat	NaN	1.6	NaN	-	s^(-1)	"Benzyloxycarbonyl-Gln-Gly;N,N-Dimethyl-1,4-phenylenediamine"	Protein N5-alkylglutamine;NH3	NaN	NaN	15783;16134	7	37	NaN	"Benzyloxycarbonyl-Gln-Gly + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1911	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	kcat/Km	Benzyloxycarbonyl-Gln-Gly	500	NaN	-	M^(-1)*s^(-1)	"Benzyloxycarbonyl-Gln-Gly;N,N-Dimethyl-1,4-phenylenediamine"	Protein N5-alkylglutamine;NH3	NaN	NaN	15783;16134	7	37	NaN	"Benzyloxycarbonyl-Gln-Gly + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1912	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	kcat/Km	Benzyloxycarbonyl-Gln-Ala	433.333333	NaN	-	M^(-1)*s^(-1)	"N,N-Dimethyl-1,4-phenylenediamine;Benzyloxycarbonyl-Gln-Ala"	NH3;Protein N5-alkylglutamine	NaN	NaN	16134;15783	7	37	NaN	"Benzyloxycarbonyl-Gln-Ala + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1912	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	Km	Benzyloxycarbonyl-Gln-Ala	0.0019	NaN	6.00E-04	M	"N,N-Dimethyl-1,4-phenylenediamine;Benzyloxycarbonyl-Gln-Ala"	NH3;Protein N5-alkylglutamine	NaN	NaN	16134;15783	7	37	NaN	"Benzyloxycarbonyl-Gln-Ala + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1912	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	kcat	NaN	0.85	NaN	-	s^(-1)	"N,N-Dimethyl-1,4-phenylenediamine;Benzyloxycarbonyl-Gln-Ala"	NH3;Protein N5-alkylglutamine	NaN	NaN	16134;15783	7	37	NaN	"Benzyloxycarbonyl-Gln-Ala + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1912	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	concentration	Benzyloxycarbonyl-Gln-Ala	3.80E-04	0.0095	-	M	"N,N-Dimethyl-1,4-phenylenediamine;Benzyloxycarbonyl-Gln-Ala"	NH3;Protein N5-alkylglutamine	NaN	NaN	16134;15783	7	37	NaN	"Benzyloxycarbonyl-Gln-Ala + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1913	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	kcat/Km	Benzyloxycarbonyl-Gln-Val	266.666667	NaN	-	M^(-1)*s^(-1)	"N,N-Dimethyl-1,4-phenylenediamine;Benzyloxycarbonyl-Gln-Val"	Protein N5-alkylglutamine;NH3	NaN	NaN	16134;15783	7	37	NaN	"Benzyloxycarbonyl-Gln-Val + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
1913	Cavia porcellus	liver	NaN	"[unknown, unknown, unknown, unknown, unknown]"	protein-glutamine gamma-glutamyltransferase	wildtype	Q7M0F8	2.3.2.13	Km	Benzyloxycarbonyl-Gln-Val	0.0044	NaN	4.00E-04	M	"N,N-Dimethyl-1,4-phenylenediamine;Benzyloxycarbonyl-Gln-Val"	Protein N5-alkylglutamine;NH3	NaN	NaN	16134;15783	7	37	NaN	"Benzyloxycarbonyl-Gln-Val + N,N-Dimethyl-1,4-phenylenediamine = NH3 + Protein N5-alkylglutamine"	Ping Pong (modified)	15010546
