EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
14351	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	concentration	tRNA(Arg)	1.50E-06	NaN	-	M	tRNA(Arg);L-Arginine;ATP	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	29171;18361;29888;35782;18366;16467;29952;30616;15422;16027	7.5	25	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14351	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	concentration	Enzyme	5.00E-09	NaN	-	M	tRNA(Arg);L-Arginine;ATP	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	29171;18361;29888;35782;18366;16467;29952;30616;15422;16027	7.5	25	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14351	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	concentration	ATP	2.50E-06	0.0025	-	M	tRNA(Arg);L-Arginine;ATP	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	29171;18361;29888;35782;18366;16467;29952;30616;15422;16027	7.5	25	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14351	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	kcat	NaN	10.2	NaN	0.4	s^(-1)	tRNA(Arg);L-Arginine;ATP	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	29171;18361;29888;35782;18366;16467;29952;30616;15422;16027	7.5	25	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14351	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	concentration	L-Arginine	1.00E-08	1.00E-05	-	M	tRNA(Arg);L-Arginine;ATP	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	29171;18361;29888;35782;18366;16467;29952;30616;15422;16027	7.5	25	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14351	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	Km	L-Arginine	7.00E-07	NaN	1.00E-07	M	tRNA(Arg);L-Arginine;ATP	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	29171;18361;29888;35782;18366;16467;29952;30616;15422;16027	7.5	25	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14351	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	kcat/Km	L-Arginine	1.45E+07	NaN	-	M^(-1)*s^(-1)	tRNA(Arg);L-Arginine;ATP	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	29171;18361;29888;35782;18366;16467;29952;30616;15422;16027	7.5	25	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14352	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	concentration	ATP	2.50E-06	2.50E-04	-	M	ATP;tRNA(Arg);L-Arginine	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	16027;18366;29171;30616;15422;16467;29952;18361;29888;35782	7.5	37	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14352	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	concentration	Enzyme	5.00E-09	NaN	-	M	ATP;tRNA(Arg);L-Arginine	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	16027;18366;29171;30616;15422;16467;29952;18361;29888;35782	7.5	37	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
14352	Cricetulus griseus	ovary	Arginine and Proline metabolism	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	arginine---tRNA ligase	wildtype ArgRS	P37880	6.1.1.19	concentration	L-Arginine	1.00E-08	1.00E-05	-	M	ATP;tRNA(Arg);L-Arginine	AMP;L-Arginyl-tRNA(Arg);Diphosphate	NaN	NaN	16027;18366;29171;30616;15422;16467;29952;18361;29888;35782	7.5	37	R03646	ATP + L-Arginine + tRNA(Arg) = Diphosphate + L-Arginyl-tRNA(Arg) + AMP	Michaelis-Menten	10993737
