EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
5463	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	concentration	Enzyme	5.00E-06	NaN	-	M	H2O2;Tyramine	H2O;Oxidized donor	NaN	NaN	17654;15760;15377;16240	5	25	NaN	H2O2 + Tyramine = H2O + Oxidized donor	Michaelis-Menten	14505079
5463	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	concentration	Tyramine	0	0.0375	-	M	H2O2;Tyramine	H2O;Oxidized donor	NaN	NaN	17654;15760;15377;16240	5	25	NaN	H2O2 + Tyramine = H2O + Oxidized donor	Michaelis-Menten	14505079
5463	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	kcat/Km	Tyramine	1920	NaN	150	M^(-1)*s^(-1)	H2O2;Tyramine	H2O;Oxidized donor	NaN	NaN	17654;15760;15377;16240	5	25	NaN	H2O2 + Tyramine = H2O + Oxidized donor	Michaelis-Menten	14505079
5463	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	kcat	NaN	22.9	NaN	1.3	s^(-1)	H2O2;Tyramine	H2O;Oxidized donor	NaN	NaN	17654;15760;15377;16240	5	25	NaN	H2O2 + Tyramine = H2O + Oxidized donor	Michaelis-Menten	14505079
5463	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	concentration	H2O2	0.013	0.09	-	M	H2O2;Tyramine	H2O;Oxidized donor	NaN	NaN	17654;15760;15377;16240	5	25	NaN	H2O2 + Tyramine = H2O + Oxidized donor	Michaelis-Menten	14505079
5463	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	Km	Tyramine	0.0119	NaN	0.0015	M	H2O2;Tyramine	H2O;Oxidized donor	NaN	NaN	17654;15760;15377;16240	5	25	NaN	H2O2 + Tyramine = H2O + Oxidized donor	Michaelis-Menten	14505079
5464	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	Km	3-(4-Hydroxyphenyl)propionic acid	0.0053	NaN	0.001	M	Phloretate;H2O2	Oxidized donor;H2O	NaN	NaN	16331;32980;16240;15377;17654	5	25	NaN	H2O2 + Phloretate = H2O + Oxidized donor	Michaelis-Menten	14505079
5464	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	concentration	Enzyme	5.00E-06	NaN	-	M	Phloretate;H2O2	Oxidized donor;H2O	NaN	NaN	16331;32980;16240;15377;17654	5	25	NaN	H2O2 + Phloretate = H2O + Oxidized donor	Michaelis-Menten	14505079
5464	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	concentration	H2O2	0.013	0.09	-	M	Phloretate;H2O2	Oxidized donor;H2O	NaN	NaN	16331;32980;16240;15377;17654	5	25	NaN	H2O2 + Phloretate = H2O + Oxidized donor	Michaelis-Menten	14505079
5464	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	concentration	3-(4-Hydroxyphenyl)propionic acid	0	0.045	-	M	Phloretate;H2O2	Oxidized donor;H2O	NaN	NaN	16331;32980;16240;15377;17654	5	25	NaN	H2O2 + Phloretate = H2O + Oxidized donor	Michaelis-Menten	14505079
5464	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	kcat	NaN	26.9	NaN	1.6	s^(-1)	Phloretate;H2O2	Oxidized donor;H2O	NaN	NaN	16331;32980;16240;15377;17654	5	25	NaN	H2O2 + Phloretate = H2O + Oxidized donor	Michaelis-Menten	14505079
5464	Equus caballus	heart	NaN	"[unknown, unknown, unknown, unknown, unknown]"	NaN	wildtype	NaN	-	kcat/Km	3-(4-Hydroxyphenyl)propionic acid	5050	NaN	750	M^(-1)*s^(-1)	Phloretate;H2O2	Oxidized donor;H2O	NaN	NaN	16331;32980;16240;15377;17654	5	25	NaN	H2O2 + Phloretate = H2O + Oxidized donor	Michaelis-Menten	14505079
10471	Equus caballus	muscle	Carbon fixation in photosynthetic organisms	"[unknown, unknown, unknown, unknown, unknown]"	phosphoglycerate kinase	wildtype	P00559	2.7.2.3	concentration	3-Phospho-D-glycerate	0.01	NaN	-	M	ATP;3-Phospho-D-glycerate	3-Phospho-D-glyceroyl phosphate;ADP	NaN	NaN	16761;15422;30616;17794;16001	7.2	22	R01512	ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate	unknown	367367
10471	Equus caballus	muscle	Carbon fixation in photosynthetic organisms	"[unknown, unknown, unknown, unknown, unknown]"	phosphoglycerate kinase	wildtype	P00559	2.7.2.3	concentration	ATP	0	0.004	-	M	ATP;3-Phospho-D-glycerate	3-Phospho-D-glyceroyl phosphate;ADP	NaN	NaN	16761;15422;30616;17794;16001	7.2	22	R01512	ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate	unknown	367367
10471	Equus caballus	muscle	Carbon fixation in photosynthetic organisms	"[unknown, unknown, unknown, unknown, unknown]"	phosphoglycerate kinase	wildtype	P00559	2.7.2.3	Km	ATP	3.40E-04	NaN	-	M	ATP;3-Phospho-D-glycerate	3-Phospho-D-glyceroyl phosphate;ADP	NaN	NaN	16761;15422;30616;17794;16001	7.2	22	R01512	ATP + 3-Phospho-D-glycerate = ADP + 3-Phospho-D-glyceroyl phosphate	unknown	367367
12707	Equus caballus	liver	Carbon fixation in photosynthetic organisms	"[unknown, unknown, unknown]"	triose-phosphate isomerase	wildtype	NaN	5.3.1.1	concentration	D-Glyceraldehyde 3-phosphate	0.0147	NaN	-	M	D-Glyceraldehyde 3-phosphate	Glycerone phosphate	NaN	NaN	29052;16108	7.9	-	R01015	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	unknown	1168838
12707	Equus caballus	liver	Carbon fixation in photosynthetic organisms	"[unknown, unknown, unknown]"	triose-phosphate isomerase	wildtype	NaN	5.3.1.1	Km	D-Glyceraldehyde 3-phosphate	4.20E-04	NaN	6.00E-05	M	D-Glyceraldehyde 3-phosphate	Glycerone phosphate	NaN	NaN	29052;16108	7.9	-	R01015	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	unknown	1168838
12707	Equus caballus	liver	Carbon fixation in photosynthetic organisms	"[unknown, unknown, unknown]"	triose-phosphate isomerase	wildtype	NaN	5.3.1.1	Vmax	NaN	0.132252645	NaN	0.00760015	katal*g^(-1)	D-Glyceraldehyde 3-phosphate	Glycerone phosphate	NaN	NaN	29052;16108	7.9	-	R01015	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	unknown	1168838
12708	Equus caballus	liver	Carbon fixation in photosynthetic organisms	"[unknown, unknown, unknown]"	triose-phosphate isomerase	wildtype	NaN	5.3.1.1	Km	Glycerone phosphate	5.90E-04	NaN	1.00E-05	M	Glycerone phosphate	D-Glyceraldehyde 3-phosphate	NaN	NaN	16108;29052	7.9	-	R01015	D-Glyceraldehyde 3-phosphate = Glycerone phosphate	unknown	1168838
