EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
7353	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	concentration	2-Phospho-D-glycerate	0	0.001	-	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	44897;18021;15377;17835;18420	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Michaelis-Menten	4622436
7353	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	Vmax	NaN	0.001433362	NaN	-	katal*g^(-1)	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	44897;18021;15377;17835;18420	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Michaelis-Menten	4622436
7353	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	Km	2-Phospho-D-glycerate	1.25E-04	NaN	-	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	44897;18021;15377;17835;18420	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Michaelis-Menten	4622436
7353	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	kcat	NaN	128.333333	NaN	-	s^(-1)	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	44897;18021;15377;17835;18420	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Michaelis-Menten	4622436
7353	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	concentration	Mg2+	0.001	NaN	-	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	44897;18021;15377;17835;18420	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Michaelis-Menten	4622436
7353	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	concentration	Enzyme	NaN	NaN	-	-	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	44897;18021;15377;17835;18420	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Michaelis-Menten	4622436
7354	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	concentration	Enzyme	NaN	NaN	-	-	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	Ca2+	18420;29108;17835;44897;18021;15377	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Competitive inhibition	4622436
7354	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	concentration	2-Phospho-D-glycerate	0.001	NaN	-	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	Ca2+	18420;29108;17835;44897;18021;15377	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Competitive inhibition	4622436
7354	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	concentration	Ca2+	0.002	NaN	-	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	Ca2+	18420;29108;17835;44897;18021;15377	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Competitive inhibition	4622436
7354	Macaca mulatta	skeletal muscle	Glycolysis/Gluconeogenesis	"[unknown, unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype	NaN	4.2.1.11	Km	Mg2+	NaN	NaN	-	-	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	Ca2+	18420;29108;17835;44897;18021;15377	7	-	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Competitive inhibition	4622436
