EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
5621	Mesocricetus auratus	liver	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	Vmax/Km	(1-Chloroethenyl)oxirane	0.009361111	NaN	-	l*g^(-1)*s^(-1)	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5621	Mesocricetus auratus	liver	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	concentration	(1-Chloroethenyl)oxirane	3.70E-07	3.30E-04	-	M	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5621	Mesocricetus auratus	liver	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	Vmax	NaN	6.92E-07	NaN	-	mol*s^(-1)*g^(-1)	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5621	Mesocricetus auratus	liver	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	Km	(1-Chloroethenyl)oxirane	7.38E-05	NaN	-	M	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5621	Mesocricetus auratus	liver	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	concentration	Enzyme	0.5	NaN	-	mg/ml	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5626	Mesocricetus auratus	lung	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	Km	(1-Chloroethenyl)oxirane	1.88E-04	NaN	-	M	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5626	Mesocricetus auratus	lung	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	Vmax/Km	(1-Chloroethenyl)oxirane	0.001972222	NaN	-	l*g^(-1)*s^(-1)	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5626	Mesocricetus auratus	lung	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	concentration	(1-Chloroethenyl)oxirane	3.70E-07	2.50E-04	-	M	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5626	Mesocricetus auratus	lung	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	concentration	Enzyme	0.5	NaN	-	mg/ml	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
5626	Mesocricetus auratus	lung	NaN	"[microsome, microsome, microsome, microsome]"	microsomal epoxide hydrolase	wildtype	NaN	3.3.2.9	Vmax	NaN	3.72E-07	NaN	-	mol*s^(-1)*g^(-1)	(1-Chloroethenyl)oxirane;H2O	"3-Chloro-3-butene-1,2-diol"	NaN	NaN	15377	7.4	38	NaN	"H2O + (1-Chloroethenyl)oxirane = 3-Chloro-3-butene-1,2-diol"	Michaelis-Menten	14976339
