EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
155	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	kcat	NaN	57.1	NaN	-	s^(-1)	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	18420;17835;18021;44897;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
155	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Glycerate 2-phosphate	0.001	NaN	NaN	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	18420;17835;18021;44897;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
155	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Enzyme	NaN	NaN	NaN	-	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	18420;17835;18021;44897;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
155	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Mg2+	0	0.012	NaN	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	18420;17835;18021;44897;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
155	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	Ki	Mg2+	4.30E-04	NaN	6.00E-05	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	18420;17835;18021;44897;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
155	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	Km	Mg2+	5.40E-05	NaN	4.00E-06	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	18420;17835;18021;44897;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
156	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	Km	Mn2+	6.90E-06	NaN	3.00E-07	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;17835;29035;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
156	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	kcat	NaN	19.6	NaN	0.5	s^(-1)	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;17835;29035;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
156	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	Ki	Mn2+	2.19E-05	NaN	9.00E-07	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;17835;29035;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
156	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Glycerate 2-phosphate	0.001	NaN	NaN	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;17835;29035;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
156	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Enzyme	NaN	NaN	NaN	-	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;17835;29035;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
156	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Mn2+	0	0.012	NaN	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;17835;29035;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
157	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	Km	Co2+	1.94E-06	NaN	2.00E-07	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	48828;15377;17835;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
157	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	Ki	Co2+	1.60E-05	NaN	-	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	48828;15377;17835;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
157	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Glycerate 2-phosphate	0.001	NaN	NaN	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	48828;15377;17835;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
157	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Enzyme	NaN	NaN	NaN	-	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	48828;15377;17835;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
157	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Co2+	0	0.012	NaN	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	48828;15377;17835;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
157	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	kcat	NaN	5.96	NaN	0.31	s^(-1)	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	48828;15377;17835;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
158	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Enzyme	NaN	NaN	NaN	-	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	15377;17835;29105;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
158	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	kcat	NaN	13.6	NaN	0.7	s^(-1)	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	15377;17835;29105;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
158	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	Km	Zn2+	7.13E-06	NaN	6.50E-07	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	15377;17835;29105;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
158	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Glycerate 2-phosphate	0.001	NaN	NaN	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	15377;17835;29105;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
158	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	concentration	Zn2+	0	0.012	NaN	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	15377;17835;29105;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
158	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	wildtype enolase	P25704	4.2.1.11	Ki	Zn2+	3.38E-05	NaN	-	M	2-Phospho-D-glycerate	Phosphoenolpyruvate;H2O	NaN	NaN	15377;17835;29105;18021;44897	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
159	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	mutant Enolase G37A	P25704	4.2.1.11	Ki	Zn2+	4.67E-05	NaN	4.00E-06	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;29105;17835;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
159	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	mutant Enolase G37A	P25704	4.2.1.11	Km	Zn2+	1.23E-05	NaN	1.00E-06	M	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;29105;17835;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
159	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	mutant Enolase G37A	P25704	4.2.1.11	kcat	NaN	26.4	NaN	-	s^(-1)	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;29105;17835;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
159	Oryctolagus cuniculus	muscle	Glycolysis classical	"[unknown, unknown, unknown, unknown, unknown]"	phosphopyruvate hydratase	mutant Enolase G37A	P25704	4.2.1.11	concentration	Enzyme	NaN	NaN	NaN	-	2-Phospho-D-glycerate	H2O;Phosphoenolpyruvate	NaN	NaN	18021;44897;29105;17835;15377	7.1	25	R00658	2-Phospho-D-glycerate = H2O + Phosphoenolpyruvate	Substrate inhibition	15752688
