EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
456	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	wildtype	P00349	1.1.1.44	Km	NADP+	2.00E-06	NaN	1.00E-06	M	NADP+;6-Phospho-D-gluconate	NADPH;CO2;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;16526;17363;18009;44409;25523;48928;16863;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
456	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	wildtype	P00349	1.1.1.44	concentration	NADP+	6.00E-04	NaN	NaN	M	NADP+;6-Phospho-D-gluconate	NADPH;CO2;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;16526;17363;18009;44409;25523;48928;16863;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
456	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	wildtype	P00349	1.1.1.44	kcat	NaN	9.3	NaN	0.1	s^(-1)	NADP+;6-Phospho-D-gluconate	NADPH;CO2;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;16526;17363;18009;44409;25523;48928;16863;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
456	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	wildtype	P00349	1.1.1.44	Vmax	NaN	NaN	NaN	NaN	-	NADP+;6-Phospho-D-gluconate	NADPH;CO2;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;16526;17363;18009;44409;25523;48928;16863;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
456	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	wildtype	P00349	1.1.1.44	Ki	NADPH	8.00E-07	NaN	5.00E-07	M	NADP+;6-Phospho-D-gluconate	NADPH;CO2;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;16526;17363;18009;44409;25523;48928;16863;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
456	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	wildtype	P00349	1.1.1.44	concentration	6-Phospho-D-gluconate	0.001	NaN	NaN	M	NADP+;6-Phospho-D-gluconate	NADPH;CO2;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;16526;17363;18009;44409;25523;48928;16863;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
457	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	mutant M13I	P00349	1.1.1.44	concentration	NADP+	6.00E-04	NaN	NaN	M	6-Phospho-D-gluconate;NADP+	CO2;NADPH;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;18009;44409;25523;17363;48928;16863;16526;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
457	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	mutant M13I	P00349	1.1.1.44	Vmax	NaN	NaN	NaN	NaN	-	6-Phospho-D-gluconate;NADP+	CO2;NADPH;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;18009;44409;25523;17363;48928;16863;16526;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
457	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	mutant M13I	P00349	1.1.1.44	Ki	NADPH	8.00E-07	NaN	5.00E-07	M	6-Phospho-D-gluconate;NADP+	CO2;NADPH;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;18009;44409;25523;17363;48928;16863;16526;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
457	Ovis aries	liver	Pentose phosphate pathway	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	phosphogluconate dehydrogenase (decarboxylating)	mutant M13I	P00349	1.1.1.44	Km	NADP+	3.20E-05	NaN	3.00E-06	M	6-Phospho-D-gluconate;NADP+	CO2;NADPH;D-Ribulose 5-phosphate;H+	NaN	NaN	15378;18009;44409;25523;17363;48928;16863;16526;16474	7	-	R01528	NADP+ + 6-Phospho-D-gluconate = CO2 + H+ + NADPH + D-Ribulose 5-phosphate	Random Bi Bi	15709755
