EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
28181	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	concentration	2-Oxoglutarate	0.0075	NaN	-	M	H+;NADH;NH3;2-Oxoglutarate	H2O;NAD+;L-Glutamate	NaN	NaN	15378;29988;29985;16015;29972;44215;13389;15846;16908;16134;16810;30915;15377	7.5	37	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28181	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	concentration	NADH	1.50E-04	NaN	-	M	H+;NADH;NH3;2-Oxoglutarate	H2O;NAD+;L-Glutamate	NaN	NaN	15378;29988;29985;16015;29972;44215;13389;15846;16908;16134;16810;30915;15377	7.5	37	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28181	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	Km	NH3	0.007	NaN	6.90E-04	M	H+;NADH;NH3;2-Oxoglutarate	H2O;NAD+;L-Glutamate	NaN	NaN	15378;29988;29985;16015;29972;44215;13389;15846;16908;16134;16810;30915;15377	7.5	37	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28181	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	Km	2-Oxoglutarate	1.00E-04	NaN	1.00E-05	M	H+;NADH;NH3;2-Oxoglutarate	H2O;NAD+;L-Glutamate	NaN	NaN	15378;29988;29985;16015;29972;44215;13389;15846;16908;16134;16810;30915;15377	7.5	37	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28181	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	concentration	NH3	0.1	NaN	-	M	H+;NADH;NH3;2-Oxoglutarate	H2O;NAD+;L-Glutamate	NaN	NaN	15378;29988;29985;16015;29972;44215;13389;15846;16908;16134;16810;30915;15377	7.5	37	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28182	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	Km	NH3	0.0247	NaN	1.00E-05	M	H+;NH3;2-Oxoglutarate;NADH	H2O;L-Glutamate;NAD+	NaN	NaN	44215;13389;15846;15377;16134;16908;16810;30915;29988;29985;16015;29972;15378	7.5	5	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28182	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	concentration	2-Oxoglutarate	0.0075	NaN	-	M	H+;NH3;2-Oxoglutarate;NADH	H2O;L-Glutamate;NAD+	NaN	NaN	44215;13389;15846;15377;16134;16908;16810;30915;29988;29985;16015;29972;15378	7.5	5	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28182	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	concentration	NADH	1.50E-04	NaN	-	M	H+;NH3;2-Oxoglutarate;NADH	H2O;L-Glutamate;NAD+	NaN	NaN	44215;13389;15846;15377;16134;16908;16810;30915;29988;29985;16015;29972;15378	7.5	5	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28182	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	Km	2-Oxoglutarate	0.00366	NaN	3.40E-04	M	H+;NH3;2-Oxoglutarate;NADH	H2O;L-Glutamate;NAD+	NaN	NaN	44215;13389;15846;15377;16134;16908;16810;30915;29988;29985;16015;29972;15378	7.5	5	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
28182	Spermophilus richardsonii	liver	"Alanine, aspartate and glutamate metabolism"	"[unknown, unknown, unknown, unknown, unknown, unknown, unknown, unknown]"	glutamate dehydrogenase [NAD(P)+]	wildtype	NaN	1.4.1.3	concentration	NH3	0.1	NaN	-	M	H+;NH3;2-Oxoglutarate;NADH	H2O;L-Glutamate;NAD+	NaN	NaN	44215;13389;15846;15377;16134;16908;16810;30915;29988;29985;16015;29972;15378	7.5	5	R00243	L-Glutamate + NAD+ + H2O = 2-Oxoglutarate + H+ + NADH + NH3	unknown	11235914
