EntryID	Organism	Tissue	Pathway	CellularLocation	Enzymename	EnzymeType	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Substrate	Product	Cofactor	Inhibitor	ChebiID	pH	Temperature	KeggReactionID	ReactionEquation	KineticMechanismType	PubMedID
987	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	wildtype	NaN	1.8.5.1	concentration	Reduced glutathione	0.006	NaN	NaN	M	Reduced glutathione;Dehydroascorbate	L-Ascorbate;Oxidized glutathione	NaN	NaN	16856;29073;22652;22651;21241;38290;17858;27956;17242	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
987	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	wildtype	NaN	1.8.5.1	kcat	NaN	7.56666667	NaN	0.283333	s^(-1)	Reduced glutathione;Dehydroascorbate	L-Ascorbate;Oxidized glutathione	NaN	NaN	16856;29073;22652;22651;21241;38290;17858;27956;17242	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
987	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	wildtype	NaN	1.8.5.1	kcat/Km	Dehydroascorbate	23400	NaN	1500	M^(-1)*s^(-1)	Reduced glutathione;Dehydroascorbate	L-Ascorbate;Oxidized glutathione	NaN	NaN	16856;29073;22652;22651;21241;38290;17858;27956;17242	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
987	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	wildtype	NaN	1.8.5.1	Km	Dehydroascorbate	3.20E-04	NaN	2.00E-05	M	Reduced glutathione;Dehydroascorbate	L-Ascorbate;Oxidized glutathione	NaN	NaN	16856;29073;22652;22651;21241;38290;17858;27956;17242	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
988	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	mutant C25S	NaN	1.8.5.1	kcat/Km	Reduced glutathione	2190	NaN	170	M^(-1)*s^(-1)	Reduced glutathione;Dehydroascorbate	L-Ascorbate;Oxidized glutathione	NaN	NaN	27956;17242;16856;29073;22652;22651;21241;38290;17858	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
988	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	mutant C25S	NaN	1.8.5.1	concentration	Dehydroascorbate	0.0045	NaN	NaN	M	Reduced glutathione;Dehydroascorbate	L-Ascorbate;Oxidized glutathione	NaN	NaN	27956;17242;16856;29073;22652;22651;21241;38290;17858	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
988	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	mutant C25S	NaN	1.8.5.1	Km	Reduced glutathione	0.0052	NaN	3.00E-04	M	Reduced glutathione;Dehydroascorbate	L-Ascorbate;Oxidized glutathione	NaN	NaN	27956;17242;16856;29073;22652;22651;21241;38290;17858	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
988	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	mutant C25S	NaN	1.8.5.1	kcat	NaN	11.4333333	NaN	0.4	s^(-1)	Reduced glutathione;Dehydroascorbate	L-Ascorbate;Oxidized glutathione	NaN	NaN	27956;17242;16856;29073;22652;22651;21241;38290;17858	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
989	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	mutant C25S	NaN	1.8.5.1	concentration	Reduced glutathione	0.006	NaN	NaN	M	Dehydroascorbate;Reduced glutathione	Oxidized glutathione;L-Ascorbate	NaN	NaN	17858;16856;27956;17242;29073;22652;22651;21241;38290	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
989	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	mutant C25S	NaN	1.8.5.1	kcat	NaN	11.4333333	NaN	0.4	s^(-1)	Dehydroascorbate;Reduced glutathione	Oxidized glutathione;L-Ascorbate	NaN	NaN	17858;16856;27956;17242;29073;22652;22651;21241;38290	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
989	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	mutant C25S	NaN	1.8.5.1	Km	Dehydroascorbate	5.10E-04	NaN	2.00E-05	M	Dehydroascorbate;Reduced glutathione	Oxidized glutathione;L-Ascorbate	NaN	NaN	17858;16856;27956;17242;29073;22652;22651;21241;38290	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
989	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	mutant C25S	NaN	1.8.5.1	kcat/Km	Dehydroascorbate	22400	NaN	1300	M^(-1)*s^(-1)	Dehydroascorbate;Reduced glutathione	Oxidized glutathione;L-Ascorbate	NaN	NaN	17858;16856;27956;17242;29073;22652;22651;21241;38290	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
990	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	wildtype	NaN	1.8.5.1	kcat/Km	Reduced glutathione	2040	NaN	180	M^(-1)*s^(-1)	Reduced glutathione;Dehydroascorbate	Oxidized glutathione;L-Ascorbate	NaN	NaN	16856;29073;22652;22651;21241;38290;17858;27956;17242	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
990	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	wildtype	NaN	1.8.5.1	concentration	Dehydroascorbate	0.0045	NaN	NaN	M	Reduced glutathione;Dehydroascorbate	Oxidized glutathione;L-Ascorbate	NaN	NaN	16856;29073;22652;22651;21241;38290;17858;27956;17242	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
990	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	wildtype	NaN	1.8.5.1	Km	Reduced glutathione	0.0037	NaN	3.00E-04	M	Reduced glutathione;Dehydroascorbate	Oxidized glutathione;L-Ascorbate	NaN	NaN	16856;29073;22652;22651;21241;38290;17858;27956;17242	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
990	Sus scrofa	-	Ascorbate and aldarate metabolism	"[unknown, unknown, unknown, unknown, unknown]"	glutathione dehydrogenase (ascorbate)	wildtype	NaN	1.8.5.1	kcat	NaN	7.56666667	NaN	0.283333	s^(-1)	Reduced glutathione;Dehydroascorbate	Oxidized glutathione;L-Ascorbate	NaN	NaN	16856;29073;22652;22651;21241;38290;17858;27956;17242	6.9	30	R01108	Reduced glutathione + Dehydroascorbate = L-Ascorbate + Oxidized glutathione	unknown	9890907
1003	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	wildtype	P33198	1.1.1.42	concentration	NADP+	0	0.001	NaN	M	NADP+;Isocitrate	CO2;H+;NADPH;2-Oxoglutarate	Mn2+	NaN	16474;16526;16810;30915;44409;18009;25523;29035;16087;30887;151;15378	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1003	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	wildtype	P33198	1.1.1.42	Km	NADP+	5.59E-06	NaN	4.20E-07	M	NADP+;Isocitrate	CO2;H+;NADPH;2-Oxoglutarate	Mn2+	NaN	16474;16526;16810;30915;44409;18009;25523;29035;16087;30887;151;15378	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1003	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	wildtype	P33198	1.1.1.42	Vmax	NaN	7.15E-04	NaN	1.67E-05	mol*s^(-1)*g^(-1)	NADP+;Isocitrate	CO2;H+;NADPH;2-Oxoglutarate	Mn2+	NaN	16474;16526;16810;30915;44409;18009;25523;29035;16087;30887;151;15378	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1003	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	wildtype	P33198	1.1.1.42	Km	Mn2+	3.30E-07	NaN	6.00E-08	M	NADP+;Isocitrate	CO2;H+;NADPH;2-Oxoglutarate	Mn2+	NaN	16474;16526;16810;30915;44409;18009;25523;29035;16087;30887;151;15378	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1003	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	wildtype	P33198	1.1.1.42	Km	Isocitrate	8.37E-06	NaN	9.60E-07	M	NADP+;Isocitrate	CO2;H+;NADPH;2-Oxoglutarate	Mn2+	NaN	16474;16526;16810;30915;44409;18009;25523;29035;16087;30887;151;15378	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1003	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	wildtype	P33198	1.1.1.42	concentration	Mn2+	0	0.002	NaN	M	NADP+;Isocitrate	CO2;H+;NADPH;2-Oxoglutarate	Mn2+	NaN	16474;16526;16810;30915;44409;18009;25523;29035;16087;30887;151;15378	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1003	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	wildtype	P33198	1.1.1.42	concentration	Isocitrate	0	0.004	NaN	M	NADP+;Isocitrate	CO2;H+;NADPH;2-Oxoglutarate	Mn2+	NaN	16474;16526;16810;30915;44409;18009;25523;29035;16087;30887;151;15378	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1004	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252N	P33198	1.1.1.42	Km	NADP+	9.24E-05	NaN	-	M	Isocitrate;NADP+	H+;NADPH;2-Oxoglutarate;CO2	Mn2+	NaN	15378;16087;30887;151;29035;44409;18009;25523;16810;30915;16526;16474	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1004	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252N	P33198	1.1.1.42	concentration	NADP+	0	0.001	NaN	M	Isocitrate;NADP+	H+;NADPH;2-Oxoglutarate;CO2	Mn2+	NaN	15378;16087;30887;151;29035;44409;18009;25523;16810;30915;16526;16474	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1004	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252N	P33198	1.1.1.42	Km	Isocitrate	0.001422	NaN	3.10E-05	M	Isocitrate;NADP+	H+;NADPH;2-Oxoglutarate;CO2	Mn2+	NaN	15378;16087;30887;151;29035;44409;18009;25523;16810;30915;16526;16474	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1004	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252N	P33198	1.1.1.42	Km	Mn2+	0.001003	NaN	2.02E-04	M	Isocitrate;NADP+	H+;NADPH;2-Oxoglutarate;CO2	Mn2+	NaN	15378;16087;30887;151;29035;44409;18009;25523;16810;30915;16526;16474	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1004	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252N	P33198	1.1.1.42	concentration	Isocitrate	0	0.004	NaN	M	Isocitrate;NADP+	H+;NADPH;2-Oxoglutarate;CO2	Mn2+	NaN	15378;16087;30887;151;29035;44409;18009;25523;16810;30915;16526;16474	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1004	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252N	P33198	1.1.1.42	Vmax	NaN	1.33E-06	NaN	1.67E-07	mol*s^(-1)*g^(-1)	Isocitrate;NADP+	H+;NADPH;2-Oxoglutarate;CO2	Mn2+	NaN	15378;16087;30887;151;29035;44409;18009;25523;16810;30915;16526;16474	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1004	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252N	P33198	1.1.1.42	concentration	Mn2+	0	0.01	NaN	M	Isocitrate;NADP+	H+;NADPH;2-Oxoglutarate;CO2	Mn2+	NaN	15378;16087;30887;151;29035;44409;18009;25523;16810;30915;16526;16474	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1005	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252H	P33198	1.1.1.42	concentration	Isocitrate	0	0.004	NaN	M	NADP+;Isocitrate	2-Oxoglutarate;NADPH;CO2;H+	Mn2+	NaN	16810;30915;29035;16087;30887;151;16474;15378;44409;18009;25523;16526	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
1005	Sus scrofa	heart	Glutathione metabolism	"[mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion, mitochondrion]"	isocitrate dehydrogenase (NADP+)	mutant D252H	P33198	1.1.1.42	concentration	NADP+	0	0.001	NaN	M	NADP+;Isocitrate	2-Oxoglutarate;NADPH;CO2;H+	Mn2+	NaN	16810;30915;29035;16087;30887;151;16474;15378;44409;18009;25523;16526	7.4	25	R00267	NADP+ + Isocitrate = CO2 + NADPH + 2-Oxoglutarate + H+	unknown	15005617
