,Gene names,Tissue,Pathway,CellularLocation,Enzymename,EnzymeType,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Substrate,Product,Cofactor,Inhibitor,ChebiID,pH,Temperature,KeggReactionID,ReactionEquation,KineticMechanismType
18,HDAC2,placenta,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC2 isozyme,kcat,,2.0,,0.2,s^(-1),H2O;Acetylhistone,Acetate;Histone,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
19,HDAC2,placenta,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC2 isozyme,Ki,Trichostatin A,7.6e-10,,5.0E-11,M,H2O;Acetylhistone,Acetate;Histone,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
20,HDAC2,placenta,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC2 isozyme,concentration,Acetylhistone,1e-06,8e-05,,M,H2O;Acetylhistone,Acetate;Histone,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
21,HDAC2,placenta,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC2 isozyme,Km,Acetylhistone,3.2e-05,,4.0E-6,M,H2O;Acetylhistone,Acetate;Histone,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
22,HDAC2,placenta,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC2 isozyme,concentration,Enzyme,2e-10,,,M,H2O;Acetylhistone,Acetate;Histone,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
23,HDAC2,placenta,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC2 isozyme,concentration,Trichostatin A,0.0,1e-09,,M,H2O;Acetylhistone,Acetate;Histone,,Trichostatin A,46024;15358;15377;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
24,HDAC3,colon,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC3 isozyme,concentration,Enzyme,2e-10,,,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15377;15358;46024;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
25,HDAC3,colon,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC3 isozyme,concentration,Acetylhistone,1e-06,8e-05,,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15377;15358;46024;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
26,HDAC3,colon,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC3 isozyme,concentration,Trichostatin A,0.0,1e-09,,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15377;15358;46024;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
27,HDAC3,colon,,"[chromatin, chromatin, chromatin, chromatin, chromatin, chromatin]",In linear amides,wildtype HDAC3 isozyme,Km,Acetylhistone,3.5e-05,,1.0E-6,M,H2O;Acetylhistone,Histone;Acetate,,Trichostatin A,15377;15358;46024;30089;15366,7.4,22.0,,H2O + Acetylhistone = Acetate + Histone,Competitive inhibition (rev)
