#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
PSMB7	PSMB3	1844696	1843022	9606.ENSP00000259457	9606.ENSP00000225426	0	0	0	0	0.756	0.999	0.900	0.751	0	0.999
PSMB4	PSMA5	1847239	1846187	9606.ENSP00000290541	9606.ENSP00000271308	0	0	0	0	0.940	0.999	0.900	0.735	0	0.999
LARS	RARS	1858198	1843297	9606.ENSP00000377954	9606.ENSP00000231572	0	0	0	0	0.393	0.992	0.900	0.731	0	0.999
PGGT1B	FNTA	1860487	1848527	9606.ENSP00000404676	9606.ENSP00000303423	0	0	0	0	0	0.960	0.900	0.939	0	0.999
KARS	MARS	1850738	1845042	9606.ENSP00000325448	9606.ENSP00000262027	0	0	0	0	0.289	0.966	0.900	0.820	0	0.999
PSMB2	PSMB3	1855861	1843022	9606.ENSP00000362334	9606.ENSP00000225426	0	0	0	0	0.975	0.999	0.900	0.877	0	0.999
PSMA5	PSMB3	1846187	1843022	9606.ENSP00000271308	9606.ENSP00000225426	0	0	0	0	0.945	0.997	0.900	0.769	0	0.999
PSMB1	PSMA4	1845087	1842214	9606.ENSP00000262193	9606.ENSP00000044462	0	0	0.290	0	0.921	0.999	0.900	0.739	0	0.999
PSMA7	PSMB4	1855365	1847239	9606.ENSP00000359910	9606.ENSP00000290541	0	0	0	0	0.868	0.999	0.900	0.709	0	0.999
PSMA5	PSMA2	1846187	1842974	9606.ENSP00000271308	9606.ENSP00000223321	0	0	0.448	0.854	0.935	0.999	0.900	0.885	0	0.999
DARS	RARS	1845491	1843297	9606.ENSP00000264161	9606.ENSP00000231572	0	0	0	0	0.162	0.976	0.900	0.627	0	0.999
DNM1	SRC	1855784	1853652	9606.ENSP00000362014	9606.ENSP00000350941	0	0	0	0	0.067	0.918	0.900	0.941	0	0.999
PSMA7	PSMA3	1855365	1842599	9606.ENSP00000359910	9606.ENSP00000216455	0	0	0.341	0.816	0.741	0.999	0.900	0.640	0	0.999
KAT2B	TADA2A	1845408	1843019	9606.ENSP00000263754	9606.ENSP00000225396	0	0	0	0	0	0.968	0.900	0.985	0	0.999
LARS	EPRS	1858198	1854472	9606.ENSP00000377954	9606.ENSP00000355890	0	0	0	0	0.817	0.991	0.900	0.793	0	0.999
PSMB2	PSMA7	1855861	1855365	9606.ENSP00000362334	9606.ENSP00000359910	0	0	0	0	0.975	0.998	0.900	0.726	0	0.999
PSMB4	PSMB1	1847239	1845087	9606.ENSP00000290541	9606.ENSP00000262193	0	0	0	0	0.970	0.997	0.900	0.780	0	0.999
DARS	MARS	1845491	1845042	9606.ENSP00000264161	9606.ENSP00000262027	0	0	0	0	0.264	0.989	0.900	0.807	0	0.999
KARS	RARS	1850738	1843297	9606.ENSP00000325448	9606.ENSP00000231572	0	0	0	0	0.337	0.990	0.900	0.679	0	0.999
ACACA	ACACB	1852858	1852406	9606.ENSP00000344789	9606.ENSP00000341044	0.608	0	0	0.982	0.889	0.960	0.900	0.902	0	0.999
HDAC2	HDAC1	1861837	1855935	9606.ENSP00000430432	9606.ENSP00000362649	0	0	0.527	0.984	0	0.999	0.900	0.979	0	0.999
PSMB6	PSMB3	1846162	1843022	9606.ENSP00000270586	9606.ENSP00000225426	0	0	0	0.689	0.863	0.999	0.900	0.788	0	0.999
GALK2	GALT	1862829	1856937	9606.ENSP00000453129	9606.ENSP00000368119	0.462	0	0.475	0	0.701	0.671	0.900	0.839	0	0.999
HSP90AA1	PTGES3	1851814	1845046	9606.ENSP00000335153	9606.ENSP00000262033	0	0	0	0	0.562	0.999	0.900	0.981	0	0.999
PSMA2	PSMA4	1842974	1842214	9606.ENSP00000223321	9606.ENSP00000044462	0	0	0.282	0.871	0.900	0.999	0.900	0.872	0	0.999
PSMB4	PSMA4	1847239	1842214	9606.ENSP00000290541	9606.ENSP00000044462	0	0	0	0	0.823	0.999	0.900	0.626	0	0.999
PSMA1	PSMB1	1861079	1845087	9606.ENSP00000414359	9606.ENSP00000262193	0	0	0.223	0	0.931	0.998	0.900	0.880	0	0.999
PSMA3	PSMA4	1842599	1842214	9606.ENSP00000216455	9606.ENSP00000044462	0	0	0.425	0.765	0.736	0.999	0.900	0.868	0	0.999
PSMB3	PSMA2	1843022	1842974	9606.ENSP00000225426	9606.ENSP00000223321	0	0	0	0	0.952	0.999	0.900	0.685	0	0.999
