"Query","Entrez","Symbol","KO","Name","Comment"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AADAT","51166","AADAT","","aminoadipate aminotransferase","2"
"AANAT","15","AANAT","K00669","aralkylamine N-acetyltransferase","1"
"ABCB1","5243","ABCB1","K05658","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"ABCB1","5243","ABCB1","K05658","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"ABCB1","5243","ABCB1","K05658","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"ABCB1","5243","ABCB1","K05658","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"ABCB1","5243","ABCB1","K05658","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"ABCB1","5243","ABCB1","K05658","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"ABCB1","5243","ABCB1","K05658","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"ABCB1","5243","ABCB1","K05658","ATP-binding cassette, sub-family B (MDR/TAP), member 1","1"
"ABCB4","5244","ABCB4","K05659","ATP-binding cassette, sub-family B (MDR/TAP), member 4","1"
"ABCB4","5244","ABCB4","K05659","ATP-binding cassette, sub-family B (MDR/TAP), member 4","1"
"ABCB4","5244","ABCB4","K05659","ATP-binding cassette, sub-family B (MDR/TAP), member 4","1"
"ABCB4","5244","ABCB4","K05659","ATP-binding cassette, sub-family B (MDR/TAP), member 4","1"
"ABCB4","5244","ABCB4","K05659","ATP-binding cassette, sub-family B (MDR/TAP), member 4","1"
"ABCB4","5244","ABCB4","K05659","ATP-binding cassette, sub-family B (MDR/TAP), member 4","1"
"ABCB4","5244","ABCB4","K05659","ATP-binding cassette, sub-family B (MDR/TAP), member 4","1"
"ABCB4","5244","ABCB4","K05659","ATP-binding cassette, sub-family B (MDR/TAP), member 4","1"
"ABCB5","340273","ABCB5","K05660","ATP-binding cassette, sub-family B (MDR/TAP), member 5","1"
"ABCB5","340273","ABCB5","K05660","ATP-binding cassette, sub-family B (MDR/TAP), member 5","1"
"ABCB5","340273","ABCB5","K05660","ATP-binding cassette, sub-family B (MDR/TAP), member 5","1"
"ABCB5","340273","ABCB5","K05660","ATP-binding cassette, sub-family B (MDR/TAP), member 5","1"
"ABCB5","340273","ABCB5","K05660","ATP-binding cassette, sub-family B (MDR/TAP), member 5","1"
"ABCB5","340273","ABCB5","K05660","ATP-binding cassette, sub-family B (MDR/TAP), member 5","1"
"ABCB5","340273","ABCB5","K05660","ATP-binding cassette, sub-family B (MDR/TAP), member 5","1"
"ABCB5","340273","ABCB5","K05660","ATP-binding cassette, sub-family B (MDR/TAP), member 5","1"
"ABCC4","10257","ABCC4","K05673","ATP-binding cassette, sub-family C (CFTR/MRP), member 4","1"
"ABHD12","26090","ABHD12","","abhydrolase domain containing 12","2"
"ABHD2","11057","ABHD2","","abhydrolase domain containing 2","2"
"ABHD6","57406","ABHD6","K13700","abhydrolase domain containing 6","1"
"ABO","28","ABO","K00709","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","1"
"ABO","28","ABO","K00709","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","1"
"ABO","28","ABO","K00709","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","1"
"ABO","28","ABO","K00709","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","1"
"ABO","28","ABO","K00709","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","1"
"ABO","28","ABO","K00709","ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)","1"
"ACAA1","30","ACAA1","K07513","acetyl-CoA acyltransferase 1","1"
"ACAA1","30","ACAA1","K07513","acetyl-CoA acyltransferase 1","1"
"ACAA2","10449","ACAA2","K07508","acetyl-CoA acyltransferase 2","1"
"ACAA2","10449","ACAA2","K07508","acetyl-CoA acyltransferase 2","1"
"ACACA","31","ACACA","","acetyl-CoA carboxylase alpha","2"
"ACACA","31","ACACA","","acetyl-CoA carboxylase alpha","2"
"ACACB","32","ACACB","","acetyl-CoA carboxylase beta","2"
"ACACB","32","ACACB","","acetyl-CoA carboxylase beta","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
"ACAD10","80724","ACAD10","","acyl-CoA dehydrogenase family, member 10","2"
